              name, yyyy-mm-dd
  東日本大震災需要, 2011-03-11
  東日本大震災需要, 2011-03-12
  東日本大震災需要, 2011-03-13
  東日本大震災需要, 2011-03-14
  東日本大震災需要, 2011-03-15
  東日本大震災需要, 2011-03-16
  東日本大震災需要, 2011-03-17
  東日本大震災需要, 2011-03-18
  東日本大震災需要, 2011-03-19
  東日本大震災需要, 2011-03-20
  東日本大震災需要, 2011-03-21
  東日本大震災需要, 2011-03-22
  東日本大震災需要, 2011-03-23
  東日本大震災需要, 2011-03-24
  東日本大震災需要, 2011-03-25
  東日本大震災需要, 2011-03-26
  東日本大震災需要, 2011-03-27
  東日本大震災需要, 2011-03-28
  東日本大震災需要, 2011-03-29
  東日本大震災需要, 2011-03-30
  東日本大震災需要, 2011-03-31
          大雪需要, 2016-11-24
          大雪需要, 2018-01-22
          大雪需要, 2018-01-23
     天皇即位の日 , 2019-05-01
       国民の休日 , 2019-05-02
 (異常日理由不明) , 2019-10-12
 (異常日理由不明) , 2019-10-13
    山の日（移動）, 2020-08-10
 山の日（特異期間訓練除外）, 2020-08-11
 海の日（オリンピック移動）, 2021-07-22
 スポーツの日（オリンピック移動）, 2021-07-23
 山の日（オリンピック移動）, 2021-08-08
 山の日（特異期間訓練除外）, 2021-08-11
